symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
FCL,INE045J01026,2025-08-13,NSE,EQ,EQ,buy,false,1.000000,231.699997,201046249,1100000008021574,2025-08-13T09:34:46
FCL,INE045J01026,2025-08-13,NSE,EQ,EQ,buy,false,1.000000,231.699997,201046250,1100000008021574,2025-08-13T09:34:46
FCL,INE045J01026,2025-08-13,NSE,EQ,EQ,buy,false,1.000000,231.699997,201046252,1100000008021574,2025-08-13T09:34:46
FCL,INE045J01026,2025-08-13,NSE,EQ,EQ,buy,false,1.000000,231.699997,201046248,1100000008021574,2025-08-13T09:34:46
FCL,INE045J01026,2025-08-13,NSE,EQ,EQ,buy,false,1.000000,231.699997,201046251,1100000008021574,2025-08-13T09:34:46
MAHSEAMLES,INE271B01025,2025-08-13,NSE,EQ,EQ,buy,false,1.000000,688.650024,400960695,1200000007996976,2025-08-13T09:34:54
ACE,INE731H01025,2025-08-21,NSE,EQ,EQ,buy,false,1.000000,997.599976,3833403,1000000033973498,2025-08-21T12:35:47
KSOLVES,INE0D6I01023,2025-08-29,NSE,EQ,EQ,buy,false,1.000000,320.000000,402830730,1200000029736122,2025-08-29T11:16:58
PAYTM,INE982J01020,2025-09-22,NSE,EQ,EQ,buy,false,1.000000,1199.400024,404548278,1200000046171511,2025-09-22T13:31:56
SWIGGY,INE00H001014,2025-09-29,NSE,EQ,EQ,buy,false,1.000000,418.350006,602239235,1300000020892827,2025-09-29T10:13:40
MAHSEAMLES,INE271B01025,2025-10-08,BSE,EQ,A,buy,false,1.000000,588.799988,5440500,1759896532166260263,2025-10-08T09:45:27
ACE,INE731H01025,2025-10-08,NSE,EQ,EQ,buy,false,1.000000,1072.800049,3497205,1000000038495734,2025-10-08T12:40:21
BAJAJHFL,INE377Y01014,2025-10-08,NSE,EQ,EQ,buy,false,5.000000,110.440002,3503063,1000000038552013,2025-10-08T12:40:49
IIFL,INE530B01024,2025-10-15,NSE,EQ,EQ,sell,false,5.000000,507.000000,205776391,1100000056571231,2025-10-15T13:39:09
MOTILALOFS,INE338I01027,2025-10-15,NSE,EQ,EQ,buy,false,1.000000,1020.500000,404774352,1200000055495280,2025-10-15T13:39:24
SWIGGY,INE00H001014,2025-10-16,NSE,EQ,EQ,buy,false,1.000000,455.200012,604403483,1300000035432661,2025-10-16T11:31:09
KPITTECH,INE04I401011,2025-10-20,NSE,EQ,EQ,buy,false,1.000000,1150.599976,401600202,1200000019299370,2025-10-20T10:16:13
SWIGGY,INE00H001014,2025-10-20,NSE,EQ,EQ,buy,false,1.000000,420.649994,607086193,1300000065585849,2025-10-20T14:00:06
GOLDCASE,INF0R8F01042,2025-10-20,BSE,EQ,E,buy,false,50.000000,20.010000,11817900,1760948066989123969,2025-10-20T14:15:11
MAHSEAMLES,INE271B01025,2025-12-03,BSE,EQ,A,buy,false,1.000000,559.150024,3324000,1764741490491835601,2025-12-03T12:54:19
SPANDANA,INE572J01011,2025-12-03,NSE,EQ,EQ,sell,false,1.000000,258.850006,605075909,1300000043350205,2025-12-03T12:55:04
SPANDANA,INE572J01011,2025-12-03,NSE,EQ,EQ,sell,false,4.000000,258.850006,605075910,1300000043350205,2025-12-03T12:55:04
FUSION,INE139R01012,2025-12-03,NSE,EQ,EQ,sell,false,5.000000,170.229996,205216118,1100000042826008,2025-12-03T12:55:21
FUSION,INE139R01012,2025-12-03,NSE,EQ,EQ,sell,false,6.000000,170.240005,205216117,1100000042826008,2025-12-03T12:55:21
ACE,INE731H01025,2025-12-04,NSE,EQ,EQ,buy,false,1.000000,968.299988,812576,1000000008351159,2025-12-04T09:47:12
ACE,INE731H01025,2025-12-08,BSE,EQ,A,buy,false,2.000000,930.799988,4712900,1765176329092468700,2025-12-08T12:45:05
BAJAJHFL,INE377Y01014,2025-12-08,NSE,EQ,EQ,buy,false,5.000000,93.589996,3272399,1000000029831257,2025-12-08T12:45:25
MAHSEAMLES,INE271B01025,2025-12-10,BSE,EQ,A,buy,false,1.000000,561.900024,257100,1765337400031164334,2025-12-10T09:26:45
SWIGGY,INE00H001014,2025-12-10,NSE,EQ,EQ,buy,false,1.000000,404.850006,600592874,1300000005035519,2025-12-10T09:27:02
GOLDCASE,INF0R8F01042,2025-12-10,NSE,EQ,EQ,buy,false,14.000000,20.240000,200786046,1100000006409504,2025-12-10T09:28:00
KOTAKBANK,INE237A01028,2025-12-29,NSE,EQ,EQ,sell,false,2.000000,2171.500000,400471259,1200000004174799,2025-12-29T09:23:54
GOLDCASE,INF0R8F01042,2025-12-29,NSE,EQ,EQ,buy,false,16.000000,21.910000,200880957,1100000005939857,2025-12-29T09:24:33
ETERNAL,INE758T01015,2025-12-29,NSE,EQ,EQ,buy,false,2.000000,283.500000,200899646,1100000006084523,2025-12-29T09:24:52
KPITTECH,INE04I401011,2025-12-29,BSE,EQ,A,buy,false,1.000000,1212.199951,301617800,1766979000150604230,2025-12-29T09:32:58
MEDANTA,INE474Q01031,2025-12-29,NSE,EQ,EQ,buy,false,1.000000,1168.599976,400763841,1200000007205438,2025-12-29T09:33:04
ACE,INE731H01025,2026-01-08,BSE,EQ,A,buy,false,1.000000,928.599976,9346900,1767855236467836455,2026-01-08T13:20:15
ACE,INE731H01025,2026-01-13,NSE,EQ,EQ,buy,false,2.000000,884.099976,3484231,1000000039698004,2026-01-13T13:19:25
MEDANTA,INE474Q01031,2026-01-13,NSE,EQ,EQ,buy,false,1.000000,1175.000000,404103242,1200000050633151,2026-01-13T13:19:45
UJJIVANSFB,INE551W01018,2026-01-16,BSE,EQ,A,sell,false,100.000000,60.380001,3559700,1768552683608051045,2026-01-16T14:14:55
GOLDCASE,INF0R8F01042,2026-01-19,NSE,EQ,EQ,buy,false,120.000000,22.690001,201719592,1100000013708517,2026-01-19T09:44:47
ACE,INE731H01025,2026-01-22,BSE,EQ,A,buy,false,2.000000,802.000000,11904800,1769066672470905855,2026-01-22T13:35:37
MEDANTA,INE474Q01031,2026-01-22,BSE,EQ,A,buy,false,1.000000,1063.199951,11450800,1769065698933841194,2026-01-22T13:36:23
ETERNAL,INE758T01015,2026-01-27,NSE,EQ,EQ,buy,false,4.000000,252.850006,206853150,1100000061202427,2026-01-27T12:13:54
GOLDCASE,INF0R8F01042,2026-01-30,NSE,EQ,EQ,buy,false,50.000000,26.270000,201260969,1100000007886559,2026-01-30T09:24:59
KSOLVES,INE0D6I01023,2026-02-06,NSE,EQ,EQ,sell,false,10.000000,257.799988,407212466,1200000076750102,2026-02-06T15:23:23
BAJAJHFL,INE377Y01014,2026-02-11,NSE,EQ,EQ,buy,false,10.000000,91.480003,439700,1000000003722803,2026-02-11T09:23:23
GOLDCASE,INF0R8F01042,2026-02-11,NSE,EQ,EQ,buy,false,50.000000,24.459999,207216277,1100000062780352,2026-02-11T14:02:21
PRAJIND,INE074A01025,2026-02-16,NSE,EQ,EQ,sell,false,7.000000,301.000000,400159189,1200000000987351,2026-02-16T09:16:04
UJJIVANSFB,INE551W01018,2026-03-02,BSE,EQ,A,buy,false,50.000000,56.549999,5756300,1772429846002883962,2026-03-02T12:37:04
GOLDCASE,INF0R8F01042,2026-03-04,BSE,EQ,E,buy,false,100.000000,25.379999,9195300,1772597356849985510,2026-03-04T10:23:39
MOTILALOFS,INE338I01027,2026-03-04,NSE,EQ,EQ,buy,false,2.000000,698.849976,403655895,1200000032269012,2026-03-04T10:32:42
MEDANTA,INE474Q01031,2026-03-04,NSE,EQ,EQ,buy,false,1.000000,1106.300049,403662428,1200000032344427,2026-03-04T10:33:00
IIFL,INE530B01024,2026-03-12,NSE,EQ,EQ,sell,false,12.000000,473.200012,200591971,1100000003973395,2026-03-12T09:19:48
IIFL,INE530B01024,2026-03-12,NSE,EQ,EQ,sell,false,3.000000,473.299988,200591970,1100000003973395,2026-03-12T09:19:48
BHARTIARTL,INE397D01024,2026-03-12,NSE,EQ,EQ,buy,false,1.000000,1797.199951,528447,1000000003902433,2026-03-12T09:21:43
EDELWEISS,INE532F01054,2026-03-12,NSE,EQ,EQ,buy,false,10.000000,105.489998,200864110,1100000006227042,2026-03-12T09:23:08
ITCHOTELS,INE379A01028,2026-03-12,NSE,EQ,EQ,buy,false,15.000000,158.380005,207757684,1100000078849536,2026-03-12T12:57:39
UJJIVANSFB,INE551W01018,2026-03-13,NSE,EQ,EQ,buy,false,35.000000,51.189999,605192670,1300000055535167,2026-03-13T12:29:03
MEDANTA,INE474Q01031,2026-03-16,NSE,EQ,EQ,sell,false,1.000000,1059.099976,400423834,1200000003104049,2026-03-16T09:19:55
MEDANTA,INE474Q01031,2026-03-16,NSE,EQ,EQ,sell,false,2.000000,1059.099976,400423835,1200000003104049,2026-03-16T09:19:55
MEDANTA,INE474Q01031,2026-03-16,NSE,EQ,EQ,sell,false,2.000000,1059.099976,400423836,1200000003104049,2026-03-16T09:19:55
ANGELONE,INE732I01021,2026-03-16,NSE,EQ,EQ,buy,false,5.000000,211.479996,4342598,1000000054129560,2026-03-16T11:56:20
HDFCAMC,INE127D01025,2026-03-16,NSE,EQ,EQ,buy,false,1.000000,2366.899902,211864993,1100000126630401,2026-03-16T15:16:46
ETERNAL,INE758T01015,2026-03-17,BSE,EQ,A,buy,false,5.000000,228.600006,1759100,1773721107367102809,2026-03-17T09:55:05
YESBANK,INE528G01035,2026-03-18,NSE,EQ,EQ,buy,false,42.000000,18.840000,601318356,1300000012879404,2026-03-18T09:41:42
PRAJIND,INE074A01025,2026-03-25,BSE,EQ,A,sell,false,8.000000,328.350006,15026400,1774419958659418529,2026-03-25T12:22:02
